text,toxic
"Түйелер, не үшін?",1
"Украиналықтар, бұл Zatyukanogo ресейліктер, олар айтады, ал украиндар жаман.",1
Ит - ит өлімі,1
"Парақты жаңартыңыз, морон.",1
Скрипале Ресейдің уланғанын 6 беттен тұратын PDF-тен сенбедім бе?,1
Ресей Федерациясының денсаулық сақтаудың заманауи денсаулық сақтау жүйесі қай лагерьлер үшін?,1
Тақырыпта ағымдағы Marvel фильмі туралы ақпарат болды.,0
Құлдырау t!,1
"Сізді, Шизо.",1
"Крап, айналасында отыру",1
"Неліктен сіз бұқантарды жазып жатырсыз, нашарлайсыз?",1
"Бактериялар, сіз мұны түсінбейсіз, мен, мен истерикалық адам емеспін.",1
"Осы автордың хабарламаларын оқып шығыңыз, сіз пайдалы нәрсе таба аласыз.",0
Қиындықтар !!,1
"Сондай-ақ, біз сізге мисыз модернаға қоңырау шала аламыз.",1
"Өтірілген жақсы, сіз террорист-алау-шизофреналық дәлелдерсіз: бірақ костюмсіз және біршама ғалымсыз, миллиардер, филантропсыз",1
"Барлығы, айтпақшы, қарғыс айтпайды.",1
Мен қорлау кестесі туралы) Мен GTA-дің барлық серияларын екінші бөлімнен бесіншіден бесіншіден бесіншіден бесіншіден бесіншіден бесіншіден бесіншіге өткіздім.,0
Мен жалпы жүрдім.,1
Мадисон да дәл сол ағынды.,1
"Ал, мен сіздің хабарламаларыңыздағы пікірлеріңізге қарадым, Shit пікірлерінің пайызы орташа деңгейден төмен.",1
"Мен мұны қайдан айтсам, шоптық?",1
Екі елде де соғыс партиясы бар.,1
Әзіл сезімі қайдан шыққан?,1
"Ия, қандай агрессия.",1
"Сізде Кремльге қарсы, шетелдік шебердің серфі не бар?",1
"О, Кесу үшін пышақтың қай жағы да айта аласыз ба?",1
Бұл мүлдем күлкілі емес.,1
https: pp.userapi.com c848520 V848520411 1162bak cohwqfbjwe.jpg,0
"ИӘ тырысады, украин тілінде оқылады.",1
"Тағы бір нәрсе, Русня дегенер не істеді.",1
"Сізде ештеңе жоқ, түсінесіз бе?",1
Әдеттегідей диван саяси талдаушысы біріктірілді,1
Жетіспеушіліктен бері - бұл қорлау ма?,1
"Жылына 50 км, ол қызғаныш, немесе мен тіпті білмеймін, тіпті кейбір бүйірлердегі құлдықта да білмеймін бе?",1
"Мысалы, Ресей, Батыс Еуропа елдері және Америка Құрама Штаттарын алайық.",0
"Мүмкін ескі, мүмкін, сенилім шығар.",0
"Шизофазия (сөйлеудің үзілуі) - сөйлеу құрылымын бұзғанда, олар сөйлеу құрылымын бұзады, олар сөйлеуге ұқсамайды (сөзсіз сөйлемдер ағыны), фразалар дұрыс салынады, дегенмен, олар ешқандай семантикалық жүктемені көтермейді,",0
Үздік білімнің қоқысында!,1
Бұл адамзат-адамзаттың көптеген адамдардан соққы.,1
"Пено, Невада штаты.",0
"Ал, жазғанның бәрін көрейік.",1
Ол тролль.,1
"Егер адамдар сникер және майлы болса, егер бұл ойыншылардың пікірі бойынша Анддроме Антемнен гөрі жақсы.",1
"Жарайды, сен оянсың, мен сені түсінемін.",1
"Fuck, украиндар, сіз, ең болмағанда, сендердің адамдармен, мылқау адамдармен жаза ».",1
"Қымбатты, сен шынымен ақымақсың және тамақ ішпесің, біз кімнің қорқақ екендігі туралы сөйлесіп жатырмыз?",1
"Сонымен, іс жүзінде, Сириус кеңсесінде тәжірибе үшін 3 жылдан астам уақыт жұмыс істемеді.",0
"Сіз сияқты, маған сеніңіз)",1
Әлиексинский тастарын тез өшіреді деп айтылады.,0
